mtime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
xxx,261405,378012,267830,126721,456497,517844,218785,17505,334511,115073,105605,461098,537299,42573,535337,328852,179131,531763,44401,404944,490739,98396,2513,501685,22458,35444,144305,466062,44771,81111,427128,106461,161478,288866,331833
xxx,542538,20081,345328,74466,179181,282201,376001,142831,362829,180357,354465,454681,69843,421094,490472,66965,44801,51675,222191,478295,286289,411041,67983,67435,291589,542720,353649,32079,74951,388870,424881,509085,276269,174164,415207
xxx,449228,524301,87379,90514,52479,481156,434995,418200,61167,495161,386039,465665,439946,474965,236205,375891,276161,235293,17875,206961,1559,445161,90905,408779,41559,476666,49044,161153,205986,235323,177915,262865,382865,135191,541392
xxx,332881,257280,181781,244201,347201,85305,362051,421146,258552,207695,334120,244095,460641,360054,284481,333001,252406,330041,215626,309761,517441,526833,269336,502353,427625,144498,74449,363889,476501,455783,248008,484609,224826,476201,155717
xxx,324139,491190,390581,295011,37218,172613,43153,94128,266955,13784,101475,494581,548457,301705,218045,330816,419265,532124,126366,287221,211969,325326,319688,213896,319621,470311,42721,116501,266193,499206,311789,528193,131521,178783,524311
xxx,232061,84200,94425,40836,137114,424363,316887,493617,355331,184373,244957,173614,44677,279997,191833,422441,532709,45610,517731,478055,37981,193151,140569,422832,114601,112476,83086,540841,56825,541889,273831,114726,449177,74427,504245
xxx,234085,429379,530543,147401,333227,531301,258472,238503,156913,242451,353087,410826,237497,329086,13843,298530,316561,493126,415241,111001,240733,174282,149952,152100,98030,153901,223545,342201,134377,540920,199693,31797,2145,41899,514831
xxx,274745,9377,423270,156507,361583,25392,107953,179234,328269,146929,87969,379825,191737,278641,189993,182876,21617,481657,417087,254586,398233,513119,396314,459511,408312,408113,375673,148713,492390,473233,519997,501327,299300,493162,121457
xxx,324413,192446,507357,328021,492111,525483,435927,341323,348043,118546,353819,397677,319693,12561,343521,52727,214929,177507,211355,487037,107039,295435,278821,255974,172901,70093,82947,366631,217881,344093,147546,96523,226371,506196,417297
xxx,40453,155986,217173,36665,299370,156663,454751,520121,221345,88401,208539,213793,292182,73921,193421,425148,248752,111456,529953,152849,140876,280049,281817,344257,381717,222349,193289,373957,468114,112721,70361,310413,334764,31278,139336
xxx,513705,196627,354805,2846,55441,374421,8651,284174,95431,70901,135912,373311,259511,395001,320907,234921,320481,281061,491880,370017,14946,419209,489157,548407,96280,450522,392401,309332,485281,261345,90213,113909,149800,145628,259153
xxx,494681,515721,539701,52746,228270,61717,292750,15109,206017,233176,432609,252209,458289,242216,306527,129441,121467,511335,105751,201503,3408,36181,145844,344421,225296,91729,150101,389941,341597,332261,497455,409103,534030,231731,201717
xxx,348111,85235,495829,119326,171197,288847,272452,501953,18470,381701,4111,145579,275105,353233,16489,412480,43789,367001,458151,317351,534009,373833,521726,221281,366521,43849,283009,382801,336373,82441,126001,180979,196471,87571,150529
xxx,184463,275047,108127,178606,339681,514569,361931,171670,477565,185725,176815,71,249901,9495,311873,548580,98913,177549,307661,220929,288981,2601,391217,320534,316321,35509,144943,371989,495420,258776,458040,481639,436657,407035,549183
xxx,181485,356089,361197,3991,217081,294197,319318,308518,41567,20241,257673,12158,118410,65694,293833,240209,408260,89743,505127,295156,358403,436833,44381,544959,220771,213286,525729,102600,542993,88913,94553,210633,57113,321554,113411
xxx,288611,337193,342945,187247,212561,442865,220653,231691,471532,211816,395990,92901,67089,393937,151286,44333,226651,539649,318671,301457,507727,477153,147151,320131,544251,541121,336140,131393,426161,530993,269501,238341,165251,416997,139841
xxx,119287,496101,86417,501361,527295,179657,256901,346611,183901,128854,344653,212736,488641,59141,206636,320041,254871,417449,344538,506394,65288,397801,126541,371012,124235,418392,191705,317188,371257,531947,219517,457911,144860,527313,514621
xxx,487491,322701,208841,72475,528017,537681,173001,219837,284193,127964,212806,312876,488593,315602,222149,84425,109274,64293,492277,291424,537102,488401,149425,56481,324206,337460,273937,226637,163600,205357,437855,514676,245225,86819,299153
xxx,197171,114435,211033,254767,542673,225186,252236,489864,40902,329745,203316,167221,5809,244153,471981,142673,195916,71867,463001,353641,380267,425621,519508,347557,490171,416360,213191,187777,295027,317857,391459,437416,418133,276685,322989
xxx,512602,371401,337473,422062,285841,363831,463297,498609,224543,421657,138169,446211,374001,340726,35751,521761,446484,315817,264833,95816,146467,361623,35937,133105,440204,527321,279617,163623,162016,382563,181076,357880,370601,151871,411098
xxx,214041,220723,190086,226091,297216,431656,76006,535857,151081,535793,53321,417569,123885,225481,79045,3457,166737,177188,348491,35929,268309,399091,305681,547721,207519,69601,380398,55276,535865,267251,536257,41217,488163,152131,183171
xxx,16817,273527,313865,256526,138721,527041,425849,482177,142651,496871,418142,480295,475658,42696,100992,62021,167427,521571,295792,383665,330736,536475,448174,441120,269933,68525,301961,501433,321751,111585,190869,430652,427034,61872,380754
xxx,417269,316780,541840,164971,223436,402221,533996,393169,379997,49202,439919,372026,493725,104998,320614,97325,209681,174477,110631,77364,308775,498391,42922,432156,365829,142693,319337,138773,5986,94585,247265,193371,21348,262531,547955
xxx,150111,136727,133194,337601,473201,411041,52317,248627,231321,142369,425717,216745,406441,512493,507779,306813,132497,34941,358376,50122,475953,242721,191905,104561,404190,492643,27809,482176,307961,185991,336033,236905,323361,345425,159167
xxx,71425,48461,91309,403120,164489,159898,92644,430483,39033,23288,486087,2261,514685,383529,106817,440903,124021,101409,322269,403696,402737,326193,451597,544929,242729,436297,103565,485401,187081,21046,109949,350423,11177,139063,320730
xxx,499182,338381,181951,368486,213377,107271,145521,346853,523345,81545,298189,420013,203249,214081,272118,466722,48445,347139,244767,71493,343925,70043,522257,152860,20027,302522,489406,448185,510300,510433,379441,15425,345089,208886,211216
xxx,544913,89049,370381,240305,31121,525099,277431,320309,187233,107209,478527,413493,512501,275463,43877,284651,99889,514421,458570,169800,285467,138145,275889,410568,472451,549672,201293,268241,403439,432641,375713,263126,322581,106881,328161
xxx,262673,496048,258411,412489,3636,437017,159561,386683,100257,284449,513965,466456,381737,129379,397383,58587,399724,441571,250037,215413,158401,59782,438137,457951,314001,468742,75049,101664,149073,269081,529476,425009,136389,212341,248586
xxx,238791,454001,153201,41319,526780,175231,25,84886,197757,231335,438471,419441,140040,370521,260595,531713,308644,296545,69151,377826,284367,335649,221131,397322,532602,209321,540266,216143,307905,181649,150801,440386,473445,351782,373097
xxx,435911,195203,125677,55701,254169,154701,475617,228713,488165,285723,354618,135196,138971,140761,94063,475371,29557,164131,297981,110881,465850,224141,429283,49818,98235,340169,97625,28256,354465,534742,176577,129578,245620,53853,165951
xxx,4761,346125,420762,537201,334429,165961,111429,517756,429243,527321,292301,309805,445575,172251,306412,41178,383431,527165,345055,250418,154801,453801,397605,509301,128693,528932,321411,473121,226971,28053,208324,201456,122088,364028,478044
xxx,381905,21165,21715,340001,92745,217244,488441,464244,106120,131162,331926,487936,209927,159193,310916,343481,256651,307312,126785,59453,393701,158761,85291,213341,479721,417965,408993,448438,508377,331411,274601,81881,446001,275101,524303
xxx,406009,251945,527577,360897,214871,445765,80915,21093,204161,369963,387501,444126,363353,26283,498945,68209,99373,197362,278826,193269,399399,501601,205776,498801,142337,347216,252226,335589,174737,337951,350791,38997,478906,340507,341031
xxx,418329,2241,200053,45222,114806,321126,364713,363554,445061,144993,367265,163541,378289,213181,425178,222394,518364,155970,34153,144511,365361,503977,301320,310401,512087,289525,395947,480051,208886,501274,346521,492405,549428,324393,314617
xxx,120671,233377,3104,223555,358113,505681,421877,144027,80917,480498,236351,221421,258086,380706,345635,532768,285781,167381,535206,520895,256201,308026,257871,109869,11041,196781,457629,146405,145801,418236,15179,234242,308649,296853,378025
xxx,292121,447792,366421,310267,154609,9617,431509,340513,381976,63691,49395,165551,60673,313456,196438,414801,123981,479465,445589,272881,149425,549808,162521,411212,527899,25135,302901,354913,509671,385484,223337,78801,273793,133011,346426
xxx,397201,14161,159117,144057,394791,159489,332686,299521,179703,646,65279,422181,418741,80685,60369,257861,31162,256751,357776,259995,497022,243651,345973,66217,210716,48301,252913,401201,448961,208960,420208,489101,369601,368721,586
xxx,36460,356321,389085,33331,170276,15110,196445,44076,491184,64873,162933,250217,522271,414829,397238,422601,172946,222509,328065,2241,393843,478705,399393,419866,102276,519875,246215,258905,6733,19265,210609,75297,127221,14774,52928
xxx,537405,141281,385233,272265,377249,72097,457483,271222,446732,427025,379354,153561,269441,219197,27193,42906,548961,183323,298921,50729,198977,163648,2500,528401,431471,353615,416492,305344,206436,98819,84199,478875,478365,169049,156413
xxx,243033,32421,239215,235795,79689,25483,62124,413806,549761,108359,4349,33941,357501,113066,497201,165391,185845,127081,484406,310473,70522,218986,52414,80601,440457,325725,349865,186353,473888,224933,477971,152461,226045,192611,532241
xxx,128294,438113,495674,364277,184891,521484,419881,175017,399946,442432,54786,7154,368071,182705,69257,388037,504271,282100,500803,538929,516005,414489,160449,281138,352034,472507,185936,208013,165746,467021,245633,230802,67934,106019,102169
xxx,187298,61359,246973,250815,378454,158587,327633,95360,218974,503579,307748,388193,473219,357739,479265,179821,2145,72486,523777,320139,153899,524764,111266,510409,61651,420741,263204,440911,297109,324896,358001,244617,483381,130417,197485
xxx,308856,322710,89167,194101,504021,457094,482699,307101,210244,413469,247375,293391,83321,95063,415361,14966,347609,124321,451771,288321,387651,519729,491831,431231,334374,392481,16071,66475,177112,292301,47771,120925,152233,214897,131931
xxx,330595,239425,184601,159640,49671,533681,58691,197522,482853,365351,95706,111729,518113,332801,516540,130629,35891,193047,131699,336145,80766,363848,76611,115296,274897,248981,473099,85736,174696,542931,343264,284809,214697,320047,179739
xxx,304809,162501,201511,18097,389779,217803,106745,2627,375201,301376,265141,396241,451989,260198,444758,42271,244694,445129,382421,158597,543315,292516,188641,425035,549345,541564,34933,488803,355871,232753,170527,507308,191638,198946,185257
xxx,298181,192834,236688,546756,16691,507523,252705,392093,130438,399141,200737,519901,276481,14967,390041,52957,544505,278554,322885,459661,132624,24817,541127,309746,129901,401937,278217,251857,540553,421288,117284,339776,307769,511881,283154
xxx,283421,437941,133875,544325,169057,353956,221921,310415,240035,343025,270125,440466,417241,273403,397476,3841,12056,8473,411200,480311,155619,393011,374445,207281,248769,94466,371681,419999,487267,340583,494254,346477,351093,90718,114376
xxx,115071,351241,535415,510012,334289,361469,342126,147979,136177,84925,314993,281675,73205,511403,477449,7933,294113,169989,40625,283737,158205,243961,284332,384075,387101,96949,68952,531101,301543,286871,350859,455368,120017,222359,370531
xxx,140289,531719,206945,526633,173986,451841,203321,249943,206335,385953,505521,412945,193110,311954,70081,405611,309232,480513,296671,40269,503273,398025,441375,245056,129582,57062,309061,73217,328417,162833,416643,235741,317706,456125,292559
xxx,406168,187887,81861,11777,236369,356831,32519,68331,399435,412351,271594,149751,77518,673,54873,33185,370361,63733,359877,100261,155265,296985,479550,351484,252561,527231,409943,428671,43341,53571,436049,487349,42769,308687,133926
xxx,543977,352873,465725,97399,425623,119493,419513,267076,108745,309552,419085,185981,339855,193111,485465,303178,236947,119229,414851,186296,80005,483386,91620,72157,262736,300675,209837,442702,417063,138876,22771,188367,340401,384297,279282
xxx,449252,403809,371006,4621,42089,477617,500996,89801,212389,24081,533841,354629,87863,157629,376211,401401,424107,10645,354465,156893,68850,55327,58481,398421,4341,299704,428329,389766,145461,536763,64209,330401,432843,492569,219729
xxx,328283,512557,164795,137783,451959,278081,543373,19666,275221,401599,20241,53311,418546,90817,36185,321355,410988,463737,127101,508501,79316,75781,420660,360966,435429,489721,434191,376345,210161,395745,253263,352153,54445,321701,113037
xxx,289081,122817,459735,79001,181389,219201,250617,504573,307038,229850,488635,372466,246531,402413,293873,530827,128383,93791,305497,517770,110023,51149,165866,387141,110813,89849,18153,3677,546025,260091,539353,141981,371624,505469,302501
xxx,166225,188684,326077,296115,225385,230809,387949,318593,187051,133421,48671,418516,327988,247924,77071,63551,375753,346249,443089,304551,316728,129043,422048,213571,191061,364920,542301,296033,530673,253655,282207,384051,155331,483681,438601
xxx,74985,533649,347126,420957,331827,181189,305565,481214,345781,165557,343248,259801,282591,518482,236761,106834,334373,231806,457096,155667,454256,319513,192714,375779,327448,152406,224791,459341,169621,104121,53283,412404,215779,464174,202501
xxx,131049,67073,118311,348369,300501,199599,114324,453479,300535,382436,298049,94005,240081,233451,543733,6821,520513,274386,412497,515323,241316,192413,228141,159501,157201,133979,347958,258417,76361,282689,247691,409907,543611,489021,166757
xxx,37971,497916,223583,471693,264317,370720,331617,411696,287751,342167,110062,288807,515781,223105,547997,61855,390039,253795,490738,483767,18536,198601,442351,499894,359446,103012,107153,223257,173201,132067,470061,369542,158233,358834,244563
xxx,236952,295053,113696,112881,261366,282901,481581,479237,521433,114374,535109,520737,528303,292001,29041,507901,266073,213443,141923,156141,400001,126325,253265,124946,268984,547113,148897,4481,36550,223751,262831,155121,154337,225158,71921
xxx,496647,20667,421059,233798,344961,194941,327785,253771,352249,204457,221761,295698,199593,370317,87748,454542,520517,456476,241801,323678,535945,171165,128524,5721,126831,533421,244387,435937,547823,48775,372631,143886,164294,482583,261191
xxx,308331,159043,343151,509873,331297,208639,102809,471996,249360,63285,469681,6136,528353,280744,277721,325128,44116,323112,377425,61707,425001,150724,405809,210121,527127,272506,401674,517491,533501,411468,287811,89206,329117,137362,460108
xxx,507706,40869,113801,449117,104401,1825,336876,214961,155552,383384,219376,277741,104667,230115,508321,415068,23223,90076,530781,161051,547481,412961,222569,318428,235201,38842,68889,170311,473505,501935,483841,115781,252106,57006,307249
xxx,324711,153377,159171,236853,315296,308046,41491,106094,422621,358473,124817,297796,63376,422101,192773,176361,456336,34935,544569,362904,11521,396449,433970,443171,415048,5257,50866,192186,178663,513685,49939,398871,359921,78621,394561
xxx,366113,505723,251376,151405,69401,469521,525207,431289,390579,156691,255807,352383,109592,468941,226529,479527,123910,333129,417421,212503,42201,349801,122081,126171,215033,172491,82521,250353,405201,88783,518261,304953,265397,140881,95761
xxx,542602,97081,279301,417751,35255,184951,361081,232625,49056,346399,461791,64669,282989,276013,224677,455020,535009,109359,539558,114281,24623,76374,290545,312128,153220,64131,38839,154371,529803,131703,52687,240631,30737,341664,59179
xxx,379171,395305,417250,505107,396361,264044,446326,493029,185129,503329,67891,161440,161557,306443,288241,265416,484426,161279,266851,259701,210595,516984,273329,431289,373998,106746,343212,5571,156465,89445,137905,83528,162377,439895,278961
xxx,14037,61403,226066,155439,121617,20325,205331,412051,315532,8311,50376,439873,383901,249400,446470,402870,400653,359734,374991,342412,1509,455089,351139,104805,381267,454133,358249,379489,110143,172193,518625,194701,148325,538561,417823
xxx,31401,507751,473931,308561,429961,427711,153951,210849,146729,74691,48757,86681,395525,245037,438356,193725,328193,79210,83093,129610,541841,327236,357271,313150,234172,356536,161018,222241,420575,443338,347441,259041,458113,460721,68535
xxx,348961,172767,151786,141681,482581,123579,498356,185197,66749,409498,436751,327569,9343,320177,535834,522211,101119,346862,427688,315221,133631,450376,515045,86995,183363,317188,432099,303989,475227,425761,149067,284121,41759,20229,448955
xxx,194307,545556,83290,238497,245276,272501,281939,477593,325697,511141,101451,132632,489972,85929,432656,174365,166239,201597,419966,335545,20193,515859,9769,423355,290885,269681,420359,152113,87785,169713,6678,168833,65329,205869,343066
xxx,49697,318776,185378,270202,194831,163295,497025,434621,440917,493626,303185,43345,198345,89889,10865,141257,490273,35721,484824,500493,254775,376056,182483,15307,230041,435393,33934,261509,76041,3186,305825,161501,274689,404658,542845
xxx,424063,282395,148640,256385,210701,544225,140281,345793,136935,294486,438739,473651,208601,536732,190045,266047,370887,170766,234377,15297,442165,448323,180374,372177,495817,545313,67541,257897,190279,278067,545451,175863,463806,501753,54917
xxx,234299,6516,10358,204401,295557,252001,492809,394615,452219,34776,161951,323861,246808,129741,444549,181533,99697,451801,151662,422257,339901,531825,238591,214681,324622,287636,49053,426801,144681,384409,318113,86421,464417,487104,510513
xxx,383909,145348,12789,345655,496699,399199,324191,110847,350068,539175,197946,445090,49850,506935,115029,116645,252865,11639,109529,452019,453572,526773,257471,142016,148537,350710,371782,228577,364579,481851,97143,44342,198344,404973,499121
xxx,447706,63601,388551,507183,34925,14701,146126,354129,417141,383731,269149,43138,267611,183635,136473,359371,464295,7151,432781,280191,96000,405389,197503,107855,219715,484476,285201,101751,642,437537,465261,182558,312191,495245,92421
xxx,119791,37341,257693,12536,302325,172627,272179,408497,58017,523432,296225,537157,174269,318217,411038,385440,40701,183034,364501,328381,543634,39395,346879,173217,237038,118210,545375,243244,454305,117145,542426,127581,283779,536845,221795
xxx,408813,41681,245233,193513,207829,27720,416267,397761,191779,334581,191119,325877,91593,239821,18121,225083,200227,311357,393127,311631,343991,66293,305164,88921,239635,533751,522085,418061,94856,155431,122682,539715,484911,161175,316321
xxx,86659,453563,424055,439516,185492,236116,324985,449381,158066,376261,448921,439215,132851,355826,357770,107782,52141,367051,161144,449346,282161,68438,80325,261153,135345,352393,169071,285336,271899,144481,173009,209249,49737,377157,415929
xxx,281964,549681,355991,368965,490630,506209,447901,2626,403051,475956,16919,439681,109653,357391,185381,400522,34309,469751,272461,440965,488709,274817,544236,518518,102789,254751,119009,149073,524151,9096,353966,284779,529926,34061,315781
xxx,386502,395564,435273,154075,253281,286440,117405,453007,49501,223421,282382,331,97687,168286,100864,121031,229385,132801,173246,415345,4753,366481,412001,389009,195127,107840,322737,102489,317331,106913,482681,510552,292758,446251,331464
xxx,44945,208803,138294,271661,120891,155825,285209,72977,426673,14667,348679,252758,231409,10001,250889,530489,96412,244324,18646,471221,27201,191277,148569,532557,129584,173228,391547,517319,399235,414501,309793,459561,356782,366785,90901
xxx,207201,302342,69350,201511,134748,55538,8189,544521,125291,344213,60809,179585,264177,25031,344058,109857,325103,278661,462536,152714,275668,152093,201761,10581,349499,218192,266701,537946,315342,388345,57641,11226,338185,465453,298306
xxx,44251,383803,131001,275785,226511,387982,362561,129757,81369,277178,529020,520065,410151,206001,427305,384686,429556,165477,547247,285729,533609,353751,153695,174121,307617,329212,133967,151581,346879,543091,328573,103471,411288,110721,378279
xxx,359436,389082,376661,431309,286965,177599,136413,543531,216091,314881,206173,261601,504065,288207,121919,260795,161891,205841,38809,524793,299589,67269,401761,143681,537809,535153,213017,455737,154777,323621,364173,476745,103913,453027,286113
xxx,224287,539591,55766,532528,407149,261921,385025,15115,319941,534961,507091,308001,389379,456328,263450,356723,393006,314873,532174,403607,108511,257385,283189,104761,225826,491482,88456,265721,354641,415723,351077,209045,322201,55181,360648
xxx,187137,202087,370718,279931,171952,459604,525791,312087,452795,51967,279721,442809,499489,436033,480043,121646,88168,226151,257401,524623,303117,273817,439779,504391,387191,250481,63339,90465,37761,485192,378541,19369,97461,283012,376707
